t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
2.3624513563e-01,-4.3672483582e-02,1.2810367294e-01,5.8290264195e-02,-6.5854500229e-03,1.0000000416e+00,-1.1060060323e-01,-2.3083547267e+00,1.2238925903e-01,-1.6666278427e-02,-1.8979432921e-06,2,0.0000000000e+00,1.7456604202e+00
2.3939250794e-01,-4.4014109624e-02,1.2078954973e-01,5.8668304315e-02,-6.6369272776e-03,1.0000000358e+00,-1.0649299604e-01,-2.3394105303e+00,1.1784440415e-01,-1.6046047081e-02,-1.8026765561e-06,2,0.0000000000e+00,1.7277640437e+00
2.4254262921e-01,-4.4343157629e-02,1.1337116257e-01,5.9032427145e-02,-6.6865051828e-03,1.0000000302e+00,-1.0242595301e-01,-2.3704955565e+00,1.1334418928e-01,-1.5431924584e-02,-1.7075943049e-06,2,0.0000000000e+00,1.7085136714e+00
2.4569575465e-01,-4.4659763197e-02,1.0584763628e-01,5.9382781980e-02,-6.7342041552e-03,1.0000000250e+00,-9.8402335265e-02,-2.4016118820e+00,1.0889179303e-01,-1.4824343807e-02,-1.6130167034e-06,2,0.0000000000e+00,1.6879838276e+00
2.4885214573e-01,-4.4964068586e-02,9.8218049807e-02,5.9719525519e-02,-6.7800456191e-03,1.0000000200e+00,-9.4424841677e-02,-2.4327616565e+00,1.0449021469e-01,-1.4223713140e-02,-1.5192409946e-06,2,0.0000000000e+00,1.6662472032e+00
2.5201207008e-01,-4.5256222204e-02,9.0481435366e-02,6.0042821308e-02,-6.8240519300e-03,1.0000000153e+00,-9.0496014507e-02,-2.4639471021e+00,1.0014228040e-01,-1.3630417336e-02,-1.4265423810e-06,2,0.0000000000e+00,1.6433746733e+00
2.5517578608e-01,-4.5536376803e-02,8.2636815792e-02,6.0352837733e-02,-6.8662461018e-03,1.0000000110e+00,-8.6618263593e-02,-2.4951703616e+00,9.5850669843e-02,-1.3044821159e-02,-1.3351748296e-06,2,0.0000000000e+00,1.6194354355e+00
2.5834350056e-01,-4.5804685815e-02,7.4683312795e-02,6.0649743976e-02,-6.9066512561e-03,1.0000000068e+00,-8.2793920899e-02,-2.5264330813e+00,9.1617976561e-02,-1.2467277621e-02,-1.2453736094e-06,2,0.0000000000e+00,1.5944973927e+00
2.6151540890e-01,-4.6061307184e-02,6.6620052215e-02,6.0933714250e-02,-6.9452911985e-03,1.0000000030e+00,-7.9025192670e-02,-2.5577368075e+00,8.7446654967e-02,-1.1898120746e-02,-1.1573533194e-06,2,0.0000000000e+00,1.5686269183e+00
2.6301374146e-01,-4.6178393997e-02,6.2776634023e-02,6.1063278250e-02,-6.9629193098e-03,1.0000000013e+00,-7.7266645581e-02,-2.5725236851e+00,8.5500191594e-02,-1.1632539315e-02,-1.1212405226e-06,2,0.0000000000e+00,1.5561134372e+00
